name_adress,house_flat,sqrt_m,number_date,,
Багратионовский городской округ,99/99,12 150,,,
индивидуальные дома:,99/99,12 150,,,
Балтийский городской округ,46/47,7 140,,,
многоквартирные дома:,1/2,392,,,
"Реконструкция нежилого здания под 2-этажный 2-квартирный (проч.мат.) дом 
ул. Гончарова, г. Балтийск, 
Леонова А.А.  ",1/2,392,"№ 39-RU39330000-356-2019 от 09.01.2020    ",,
индивидуальные дома:,45/45,6 748,,,
Гвардейский городской округ,59/59,8 401,,,
индивидуальные дома:,59/59,8 401,,,
Гурьевский городской округ,"1 054/
2 514",228 933,,,
многоквартирные дома:,34/1 494,74 017,,,
"3-этажный 45-квартирный (проч.мат.) дом поселок Голубево, Гурьевский городской округ, ул. Лазурная, 14 (ГП № 14), ООО «БаральтМ» ",1/45,1 278,"№ 39-RU39310000-80-2016 от 18.02.2020    ",,
"3-этажный 27-квартирный (проч.мат.) дом поселок Голубево, Гурьевский городской округ, ул. Лазурная, 13 (ГП № 13), ООО «БаральтМ» ",1/27,965,"№ 39-RU39310000-79-2016 от 18.02.2020    ",,
"3-этажный 27-квартирный (проч.мат.) дом ул. Лазурная, д. 11, пос. Голубево
ООО «БаральтМ» ЭКОНОМ",1/27,964,"№ 39-RU39310000-92-2016 от 17.03.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (2 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 232,"№ 39-RU39310000-674-2016 от 24.04.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (3 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 198,"№ 39-RU39310000-675-2016 от 24.04.2020    ",,
"3-этажный 15-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (5 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/15,720,"№ 39-RU39310000-676-2016 от 24.04.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (1 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 237,"№ 39-RU39310000-677-2016 от 24.04.2020    ",,
"3-этажный 15-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (4 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/15,811,"№ 39-RU39310000-678-2016 от 24.04.2020    ",,
"10-этажный 135-квартирный (проч.мат.) дом ул. Калининградское шоссе, 4 «д», 
г. Гурьевск ООО «ЛЮКС СТРОЙ СЕРВИС» ЭКОНОМ",1/135,8 162,"№ 39-RU39310000-143-2018 от 08.05.2020   ",,
"5-этажный 56-квартирный (кирп.) дом ул. Тепличная, 1, пос. Шоссейный, 
Гурьевский городской округ 
ООО «Строительная Компания Возрождение»  ЭКОНОМ",1/56,3 302,"№ 39-RU39310000-304-2018 от 22.05.2020   
 ",,
"3-этажный 18-квартирный (проч.мат.) дом ул. Старокаменная, 30А, пос. Невское
Чернеге Н.В. ЭКОНОМ",1/18,982,"№ 39-RU39310000-252-2017 от 09.06.2020   ",,
"5-этажный 36-квартирный (проч.мат.) дом ул. Садовая, 2Д, г. Гурьевск
ООО «Строительная Компания Строй Инвест 39» ЭКОНОМ",1/36,2 143,"№ 39-RU39310000-397-2018 от 17.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 122 (ГП № 1), пос.  Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 435,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 124 (ГП № 2), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 437,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 128 (ГП № 3), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 434,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 126 (ГП № 4), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 435,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"7-этажный 47-квартирный (проч.мат.) дом Рижский бульвар, д. 5 (ГП № 1), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/47,1 951,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 48-квартирный (проч.мат.) дом Рижский бульвар, д. 6 (ГП № 5), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/48,1 975,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 144-квартирный (проч.мат.) дом Рижский бульвар, д. 4 (ГП № 6), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/144,6 037,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 48-квартирный (проч.мат.) дом Рижский бульвар, д. 2 (ГП № 7), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/48,1 976,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"3-этажный 54-квартирный (проч.мат.) дом, ул. Лазурная, д. 13, пос. Голубево
ООО «Баральт-М» ЭКОНОМ",1/54,1 363,"№ 39-RU39310000-571-2016 от 12.10.2020",,
"3-этажный 54-квартирный (проч.мат.) дом, ул. Лазурная, д. 19, пос. Голубево
ООО «Баральт-М» ЭКОНОМ",1/54,1 361,"№ 39-RU39310000-573-2016 от 10.11.2020",,
"3-этажный 21-квартирный (проч.мат.) дом, ул. Петропавловская, д. 1 А, пос. Невское
ООО «Центр Долевого Строительства» ЭКОНОМ",1/21,1 210,"№ 39-RU39310000-003-2017 от 16.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 5 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/27,1 493,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 5 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ
",1/27,1 500,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 4 В, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/27,1 495,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"8-этажный 60-квартирный (проч.мат.) дом, ул. Крайняя, д. 4 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/60,3 541,"№ 39-RU39310000-224-2018 от 24.11.2020",,
"3-этажный 12-квартирный (проч.мат.) дом ул. Луговая, г. Гурьевск
Шустова К.А. ",1/12,739,"№ 39-RU39310000-001-2018 от 14.12.2020",,
"4-этажный 11-квартирный (проч.мат.) дом ул. Гурьева, г. Гурьевск
Хаустов К.В. ",1/11,896,"№ 39-RU39310000-555-2016 от 21.12.2020",,
"7-этажный 43-квартирный (проч.мат.) дом, ул. Уютная, д. 15, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/43,2 547,"№ 39-RU39310000-329-2019 от 25.12.2020",,
"6-этажный 48-квартирный (проч.мат.) дом, ул. Уютная, д. 11, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/48,2 819,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 102-квартирный (проч.мат.) дом, ул. Уютная, д. 12, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/102,6 008,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 94-квартирный (проч.мат.) дом, ул. Уютная, д. 13, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/94,5 451,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 49-квартирный (проч.мат.) дом, ул. Уютная, д. 14, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/49,2 920,"№ 39-RU39310000-738-2014 от 28.12.2020",,
индивидуальные дома:,"1 020/
1 020",152 862,,,
Гусевский городской округ,18/51,4 210,,,
многоквартирные дома:,2/35,2 105,,,
"4-этажный 11-квартирный (проч.мат.) дом ул. Московская, д. 33 «а» корп. 1, г. Гусев
Мишнев В.В. ",1/11,883,"№ 39-RU39311000-078-2019 от 05.02.2020    ",,
"4-этажный 24-квартирный (проч.мат.) дом, ул. Московская, д.33 А, корп. 2, г. Гусев,
Мишнев В.В. ЭКОНОМ",1/24,1 222,"№ 39-RU39311000-078-2019 от 06.11.2020",,
индивидуальные дома:,16/16,2 105,,,
Зеленоградский городской округ,473/1 745,139 034,                                                                                      ,,
многоквартирные дома:,21/1 293,65 546,,,
"3-этажный 36-квартирный (проч.мат.) дом,  пос. Малиновка (1 этап строительства. ГП № 1) ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/36,1 716,"№39-RU39320000-203-2018 от 27.08.2019    ",,
"3-этажный 45-квартирный (проч.мат.) дом,  пос. Малиновка (3 этап строительства. ГП № 3) ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/45,1 847,"№39-RU39320000-203-2018 от 13.01.2020    ",,
"3-этажный 20-квартирный (проч.мат.) дом поселок Сосновка, Зеленоградский р-н
ООО «КРУМОН» ",1/20,586,"№ 39-RU39320000-080-2015 от 17.02.2020    
№ 39-RU39320000-079-2015 от 17.02.2020    ",,
"3-этажный 20-квартирный (проч.мат.) дом поселок Сосновка, Зеленоградский р-н
ООО «КРУМОН» ",1/20,583,,,
"10-этажный 126-квартирный (проч.мат.) дом ул. Московская-Окружная, 
г. Зеленоградск, (2 этап, ГП 4), ООО «СПЕЦСТРОЙ» ",1/126,5 925,"№ 39-RU39320000-388-2016 от 18.02.2020    ",,
"7-этажный 36-квартирный (кирпич) дом по ул. Пограничной, д. 6
ООО «СК «Панорама» ЭКОНОМ",1/36,2 422,"№ 39-RU39320000-021-2018
от 27.05.2020   ",,
"10-этажный 77-квартирный (смеш.) дом ул. Приморская, г. Зеленоградск
ООО «Спецстрой» ЭКОНОМ",1/77,3 890,"№ 39-RU39320000-0093-2014 от 06.07.2020    ",,
"4-этажный 51-квартирный (проч.мат.) дом ул. Лазаревская, д. 11, г. Зеленоградск
ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/51,2 341,"№ 39-RU39320000-148-2019 от 10.07.2020    ",,
"3-этажный 11-квартирный (проч.мат.) дом ул. Герцена, д. 5, г. Зеленоградск
Хахалина В.И. ЭКОНОМ",1/11,428,"№ 39-RU39320000-088-2015 от 10.07.2020    ",,
"10-этажный 198-квартирный (проч.мат.) дом ул. Большая Окружная, д. 4, 
г. Зеленоградск ООО «Ватерфронт» ЭКОНОМ",1/198,10 628,"№ 39-RU39010000-201-2018 от 06.08.2020",,
"4-этажный 33-квартирный (проч.мат.) дом, ул. Лазаревская, д. 13, г. Зеленоградск
ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/33,1 480,"№ 39-RU39320000-148-2019 от 07.10.2020",,
"3-этажный 36-квартирный (проч.мат.) дом, пос. Сосновка, Зеленоградский район
ООО «Крумон» ЭКОНОМ",1/36,1 266,"№ 39-RU39320000-078-2015 от 03.11.2020",,
"4-этажный 33-квартирный (проч.мат.) дом, ул. Лазаревская, д. 15, г. Зеленоградск
ООО «СЗ «Альфастрой КД» ЭКОНОМ",1/33,1 472,"№ 39-RU39320000-148-2019 от 17.11.2020",,
"6-этажный 55-квартирный (кирп.) дом, ул. Приморская, д. 2, г. Зеленоградск 
ООО «КСТ-Зеленоградск» ЭКОНОМ ",1/55,2 710,"№ 39-RU39320000-344-2020 от 04.12.2020",,
"5-этажный 64-квартирный (проч.мат.) дом, ул. Счастливая, д. 15, пос. Холмогоровка
ООО «СЗ «Еврострой-Инвест» ЭКОНОМ ",1/64,3 617,"№ 39-RU39320000-323-2014 от 10.12.2020",,
"5-этажный 64-квартирный (проч.мат.) дом, ул. Счастливая, д. 16, пос. Холмогоровка
ООО «СЗ «Еврострой-Инвест» ЭКОНОМ ",1/64,3 619,"№ 39-RU39320000-323-2014 от 10.12.2020",,
"5-этажный 64-квартирный (проч.мат.) дом, ул. Счастливая, д. 14, пос. Холмогоровка
ООО «СЗ «Еврострой-Инвест» ЭКОНОМ ",1/64,3 617,"№ 39-RU39320000-323-2014 от 10.12.2020",,
"8-этажный 88-квартирный (кирп.) дом, ул. Октябрьская, г. Зеленоградск
ООО «Балткомфорт» ",1/88,5 460,"№ 39-RU39320000-395-2019 от 18.12.2020",,
"6-этажный 95-квартирный (легк.местн.мат.) дом, ул. Римская, д. 3, г. Зеленоградск
ООО «Балтикремкомплект» 
",1/95,4 429,"№ 39-RU39320000-056-2015 от 24.12.2020",,
"10-этажный 108-квартирный (смеш.) дом, ул. Окружная, г. Зеленоградск
ООО «Макстрой»",1/108,6039,"№ 39-RU39320000-386-2016 от 28.12.2020",,
"4-этажный 33-квартирный (смеш.) дом, ул. Лазаревская, д. 19, г. Зеленоградск
ООО «СЗ «Альфастрой КД»",1/33,1471,"№ 39-RU39320000-148-2019 от 24.12.2020",,
индивидуальные дома:,452/452,73 488,,,
Краснознаменский городской округ,4/4,644,,,
индивидуальные дома:,4/4,644,,,
Ладушкинский городской округ,7/7,1 768,,,
индивидуальные дома:,7/7,1 768,,,
Мамоновский городской округ,27/27,3 928,,,
индивидуальные дома:,27/27,3 928,,,
Неманский городской округ,9/9,1 129,,,
индивидуальные дома:,9/9,1 129,,,
Нестеровский городской округ,9/9,1 286,,,
индивидуальные дома:,9/9,1 286,,,
Озерский городской округ,3/3,485,,,
индивидуальные дома:,3/3,485,,,
Пионерский городской округ,30/241,11 556,,,
многоквартирные дома:,4/215,8 063,,,
"8-этажный 70-квартирный (проч.мат.) дом ул. Набережная, г. Пионерский
ООО «СЗ Западный порт» ЭКОНОМ",1/70,3 142,"№ 39-RU39303000-83-2016 от 19.06.2020    ",,
"6-этажный 45-квартирный (проч.мат.) дом ул. Рабочая, д. 48В, г. Пионерский
ООО «СЗ Макрострой» ЭКОНОМ",1/45,1 730,"№ 39-RU39303000-79-2016 от 26.06.2020    ",,
"6-этажный 16-квартирный (проч.мат.) дом ул. Дачная, д. 1А, г. Пионерский
ООО «СЗ Макрострой» ЭКОНОМ",1/16,544,"№ 39-RU39303000-217-2019 от 07.07.2020    ",,
"6-этажный 84-квартирный (проч.мат.) дом, ул. Рабочая, д. 44, г. Пионерский
ООО «СЗ «СК Макрострой» ЭКОНОМ",1/84,2 647,"№ 39-RU39303000-307-2018 от 30.10.2020",,
индивидуальные дома:,26/26,3 493,,,
Полесский городской округ,34/97,8 407,,,
многоквартирные дома:,1/64,3 071,,,
"4-этажный 64-квартирный (смешан.) дом ул. Рабочая, д. 5 «а»
Голощапов Е.И. ЭКОНОМ",1/64,3 071,"№ 39-RU39327000-229-2017 от 06.03.2020    ",,
индивидуальные дома:,33/33,5 336,,,
Правдинский городской округ,20/20,2 196,,,
индивидуальные дома:,20/20,2 196,,,
Светловский городской округ,58/58,9 104,,,
индивидуальные дома:,58/58,9 104,,,
Светлогорский район,69/500,29 559,,,
многоквартирные дома:,9/440,20 169,,,
"4-этажный 42-квартирный (проч.мат.) дом пер. Железнодорожный, 11
ООО «БУХТА ТАРАН» ",1/42,2006,"№ 39-RU39329000-238-2018 от 20.02.2020    ",,
"6-этажный 18-квартирный (проч.мат.) дом ул. Подгорная, 1, г. Светлогорск
ООО «ВОСТОКСТРОЙБЕТОН» ЭКОНОМ",1/18,990,"№ 39-RU39329000-219-2018 от 28.04.2020    ",,
"6-этажный 28-квартирный (проч.мат.) дом ул. Балтийская, д. 6, г. Светлогорск
ООО «Изумрудный лес» ЭКОНОМ",1/28,1 532,"№ 39-RU39329000-071-2018 от 02.07.2020 ",,
"9-этажный 104-квартирный (проч.мат.) дом ул. Дачная, д. 6, г. Светлогорск
ООО «СЗ «КСК-Строй» ЭКОНОМ",1/104,5 415,"№ 39-RU39329000-127-2018 от 21.07.2020",,
"4-этажный 9-квартирный (кирп., проч.мат.) дом пер. Дачный, д. 2, г. Светлогорск
ООО «Балтийская Торговая Палата» ЭКОНОМ",1/9,546,"№ 39-RU39329000-042-2011 от 31.07.2020 ",,
"8-этажный 104-квартирный (бетон, кирп.) дом, ул. Яблоневая, д. 21, г. Светлогорск
ООО «СЗ «ОСТ-Строй» ЭКОНОМ",1/104,3 706,"№ 39-RU39329000-222-2018 от 19.10.2020",,
"8-этажный 90-квартирный (кирп.) дом, ул. Яблоневая, д. 20, г. Светлогорск
ООО «СЗ «ОСТ-Строй» ЭКОНОМ",1/90,3 069,"№ 39-RU39329000-221-2018 от 27.10.2020",,
"5-этажный 20-квартирный (проч.мат.) дом, ул. Ленина, д. 6, г. Светлогорск
ООО «КНГ Строитель Плюс» ЭКОНОМ",1/20,1 653,"№ 39-RU39329000-160-2018 от 29.10.2020",,
"6-этажный 25-квартирный (кирп.) дом, ул. Молодежная, д. 6, корп. 2, г. Светлогорск 
ООО «СЗ «Твоя Недвижимость» ЭКОНОМ ",1/25,1 252,"№ 39-RU39329000-178-2019 от 22.12.2020",,
индивидуальные дома:,60/60,9 390,,,
Славский городской округ,12/12,1 988,,,
индивидуальные дома:,12/12,1 988,,,
Советский городской округ,21/21,4 410,,,
индивидуальные дома:,21/21,4 410,,,
Черняховский городской округ,32/32,4 638,,,
индивидуальные дома:,32/32,4 638,,,
Янтарный городской округ,38/81,9 683,,,
многоквартирные дома:,3/46,2 192,,,
"5-этажный 32-квартирный (проч.мат.) дом ул. Обогатительная, д. 12, г. Янтарный ООО «СЗ «Эталон-Вест» ЭКОНОМ",1/32,1 338,"№ 39-RU39319000-110-2019 от 21.08.2020",,
"3-этажный 8-квартирный (проч.мат.) дом, ул. Озерная, д. 12, корп. 2,
пгт. Янтарный
ООО «Миранда-Стройинвест» ЭКОНОМ",1/8,515,"№ 39-RU39319000-040-2016 от 03.11.2020",,
"2-этажный 6-квартирный (проч.мат.) дом, ул. Озерная, д. 12, корп. 1,
пгт. Янтарный
ООО «Миранда-Стройинвест» ЭКОНОМ",1/6,339,"№ 39-RU39319000-040-2016 от 03.11.2020",,
индивидуальные дома:,35/35,7 491,,,